mesano,regiao,estado,produto,producao_m3,uf,mg_anomaly_flag
09/2025,NORDESTE,Ceará,BIOMETANO,1549311.0,CE,
09/2025,SUDESTE,Minas Gerais,BIOMETANO,66.091,MG,near-zero nascent value; verify decimal interpretation
09/2025,SUL,Rio Grande do Sul,BIOMETANO,1618521.0,RS,
09/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3774827.69,RJ,
09/2025,SUDESTE,São Paulo,BIOMETANO,3284187.017,SP,
09/2025,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,61719.0,SP,
10/2025,NORDESTE,Ceará,BIOMETANO,1930503.0,CE,
10/2025,SUDESTE,Minas Gerais,BIOMETANO,56.569,MG,near-zero nascent value; verify decimal interpretation
10/2025,SUL,Paraná,BIOMETANO COMPRIMIDO,75560.0,PR,
10/2025,SUL,Rio Grande do Sul,BIOMETANO,1473177.0,RS,
10/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3836876.84,RJ,
10/2025,SUDESTE,São Paulo,BIOMETANO,4564316.272,SP,
10/2025,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,31362.0,SP,
11/2025,NORDESTE,Ceará,BIOMETANO,1827558.0,CE,
11/2025,SUDESTE,Minas Gerais,BIOMETANO,4.329,MG,near-zero nascent value; verify decimal interpretation
11/2025,SUL,Paraná,BIOMETANO COMPRIMIDO,211516.0,PR,
11/2025,NORDESTE,Pernambuco,BIOMETANO,14119.0,PE,
11/2025,SUL,Rio Grande do Sul,BIOMETANO,1775753.0,RS,
11/2025,SUDESTE,Rio de Janeiro,BIOMETANO,4244918.53,RJ,
11/2025,SUDESTE,São Paulo,BIOMETANO,4177735.287,SP,
12/2025,NORDESTE,Ceará,BIOMETANO,2003165.0,CE,
12/2025,SUL,Paraná,BIOMETANO COMPRIMIDO,243290.0,PR,
12/2025,NORDESTE,Pernambuco,BIOMETANO,449336.0,PE,
12/2025,SUL,Rio Grande do Sul,BIOMETANO,1652545.0,RS,
12/2025,SUDESTE,Rio de Janeiro,BIOMETANO,3771089.08,RJ,
12/2025,SUDESTE,São Paulo,BIOMETANO,3531573.972,SP,
12/2025,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,97593.0,SP,
01/2026,NORDESTE,Ceará,BIOMETANO,2161253.0,CE,
01/2026,SUL,Paraná,BIOMETANO COMPRIMIDO,330941.0,PR,
01/2026,NORDESTE,Pernambuco,BIOMETANO,398136.0,PE,
01/2026,SUL,Rio Grande do Sul,BIOMETANO,2100499.0,RS,
01/2026,SUDESTE,Rio de Janeiro,BIOMETANO,3831723.03,RJ,
01/2026,SUDESTE,São Paulo,BIOMETANO,2936420.407,SP,
01/2026,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,42264.0,SP,
02/2026,NORDESTE,Ceará,BIOMETANO,1985196.0,CE,
02/2026,SUL,Paraná,BIOMETANO COMPRIMIDO,302851.0,PR,
02/2026,NORDESTE,Pernambuco,BIOMETANO,361848.0,PE,
02/2026,SUL,Rio Grande do Sul,BIOMETANO,1833895.0,RS,
02/2026,SUDESTE,Rio de Janeiro,BIOMETANO,3608342.63,RJ,
02/2026,SUDESTE,São Paulo,BIOMETANO,3126561.334,SP,
02/2026,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,151395.0,SP,
03/2026,NORDESTE,Ceará,BIOMETANO,2162653.0,CE,
03/2026,SUL,Paraná,BIOMETANO COMPRIMIDO,442891.0,PR,
03/2026,NORDESTE,Pernambuco,BIOMETANO,1241783.0,PE,
03/2026,SUL,Rio Grande do Sul,BIOMETANO,1920311.0,RS,
03/2026,SUDESTE,Rio de Janeiro,BIOMETANO,3829281.72,RJ,
03/2026,SUDESTE,São Paulo,BIOMETANO,2503667.391,SP,
03/2026,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,313974.0,SP,
04/2026,NORDESTE,Ceará,BIOMETANO,2033003.0,CE,
04/2026,SUDESTE,Minas Gerais,BIOMETANO,32.009,MG,near-zero nascent value; verify decimal interpretation
04/2026,SUL,Paraná,BIOMETANO COMPRIMIDO,361194.0,PR,
04/2026,NORDESTE,Pernambuco,BIOMETANO,1924423.0,PE,
04/2026,SUL,Rio Grande do Sul,BIOMETANO,2067383.0,RS,
04/2026,SUDESTE,Rio de Janeiro,BIOMETANO,3253322.33,RJ,
04/2026,SUL,Santa Catarina,BIOMETANO,125398.74,SC,
04/2026,SUDESTE,São Paulo,BIOMETANO,3293745.043,SP,
04/2026,SUDESTE,São Paulo,BIOMETANO COMPRIMIDO,231407.0,SP,
