uf,municipality,ibge_code,operator,source_subtype,feedstock,consumption_class,consumer_type,porte,elec_capacity_kw,connection_date,lat,lon,sector,data_confidence,source_name,source_url,dup_group_size
MG,Cabo Verde,3109501,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-21.47,-46.38,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Canápolis,3111804,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-18.78,-49.02,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Carmo do Paranaíba,3114303,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,264.0,,-18.88,-46.12,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Carmo do Paranaíba,3114303,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-18.95,-46.31,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Carmo do Rio Claro,3114402,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-20.95,-46.21,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Conceição do Pará,3117603,RIO RANCHO AGROPECUARIA SA,Biogás - RA,animal_manure_agro,Rural,PJ,Microgeracao,75.0,,-19.77,-44.82,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Conceição do Pará,3117603,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,60.0,,-19.83,-44.87,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Conselheiro Lafaiete,3118304,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,96.0,,-20.66,-43.83,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Corinto,3119104,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,96.0,,-18.34,-44.59,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Corinto,3119104,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-18.29,-44.37,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
