CodGeracaoDistribuida;NomTitularEmpreendimento;SigUF;NomMunicipio;CodMunicipioIbge;DscFonteGeracao;DscClasseConsumo;SigTipoConsumidor;DscPorte;MdaPotenciaInstaladaKW;DatConexao;NumCoordNEmpreendimento;NumCoordEEmpreendimento
;***;MG;São José da Varginha;3163102;Biogás - RA;Rural;PF;Microgeracao;75,00;;-19,74;-44,55
;RADIL ALIMENTOS LTDA;MG;São Sebastião do Oeste;3164605;Biogás - RA;Industrial;PJ;Microgeracao;75,00;;-20,20;-45,03
;***;MG;Sete Lagoas;3167202;Biogás - RA;Rural;PF;Minigeracao;83,84;;-19,39;-44,23
;ARAPE AGROINDUSTRIA LTDA;MG;Bambuí;3105103;Biogás - RA;Rural;PJ;Microgeracao;60,00;;-20,02;-45,83
;INSTITUTO DE ADMINIST & GESTAO EDUC;MG;Araguari;3103504;Biogás - RA;Comercial;PJ;Microgeracao;75,00;;-18,59;-48,31
;AMIDOS PADRE TRINDADE LTDA;MG;Formiga;3126109;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-20,42;-45,38
;***;MG;Itapecerica;3133501;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,41;-45,07
;***;MG;Monte Carmelo;3143104;Biogás - RA;Rural;PF;Minigeracao;108,00;;-18,76;-47,35
;***;MG;Pará de Minas;3147105;Biogás - RU;Rural;PF;Minigeracao;144,00;;-19,46;-45,00
;***;MG;Guarará;3128501;Biogás - RA;Rural;PF;Minigeracao;264,00;;-21,81;-43,01
;***;MG;Três Corações;3169307;Biogás - RA;Rural;PF;Microgeracao;60,00;;-21,72;-45,16
;***;MG;Ponte Nova;3152105;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,36;-42,80
;***;MG;Uberlândia;3170206;Biogás - RA;Rural;PF;Microgeracao;75,00;;-19,10;-48,81
;***;MG;Pará de Minas;3147105;Biogás - RA;Rural;PF;Microgeracao;75,00;;-19,81;-44,64
;***;MG;Alpinópolis;3101904;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,91;-46,45
;***;MG;Patos de Minas;3148004;Biogás - RA;Rural;PF;Microgeracao;60,00;;-18,72;-46,67
;***;MG;Pará de Minas;3147105;Biogás - RA;Rural;PF;Microgeracao;64,80;;-19,82;-44,65
;***;MG;Jequeri;3135506;Biogás - RA;Rural;PF;Microgeracao;74,40;;-20,39;-42,71
;FRIGORIFICO LUCIANA LTDA;MG;Uberlândia;3170206;Biogás - RA;Rural;PJ;Minigeracao;99,22;;-18,72;-48,38
;***;MG;Passos;3147907;Biogás - RA;Rural;PF;Microgeracao;74,25;;-20,73;-46,57
;***;MG;Pará de Minas;3147105;Biogás - RU;Rural;PF;Microgeracao;74,38;;-19,73;-44,63
;***;MG;Jequeri;3135506;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,39;-42,67
;NETZERO BRASIL BIOCHAR LTDA;MG;Lajinha;3137700;Biogás - Floresta;Industrial;PJ;Minigeracao;82,42;;-20,16;-41,65
;ATIVA GESTAO DE NEGOCIOS S A;MG;Formiga;3126109;Biogás - RA;Rural;PJ;Microgeracao;69,76;;-20,35;-45,46
;UTE UNIAO RECICLAVEIS RIO NOVO LTDA;MG;Leopoldina;3138401;Biogás - RU;Industrial;PJ;Minigeracao;2500,00;;-21,42;-42,51
;***;MS;Ivinhema;5004700;Biogás - RA;Rural;PF;Minigeracao;110,00;;-22,24;-53,87
;***;MS;Glória de Dourados;5004007;Biogás - RA;Rural;PF;Microgeracao;67,16;;-22,51;-54,16
;***;MS;Jateí;5005103;Biogás - Floresta;Rural;PF;Microgeracao;74,00;;-22,48;-54,27
;PRODUZIR AGROPECUARIA LTDA;MS;São Gabriel do Oeste;5007695;Biogás - RA;Rural;PJ;Minigeracao;112,50;;-19,27;-54,50
;***;MS;Laguna Carapã;5005251;Biogás - RA;Rural;PF;Minigeracao;193,00;;-22,73;-55,13
;***;MS;Jateí;5005103;Biogás - RA;Rural;PF;Minigeracao;190,00;;-22,48;-54,31
;***;MS;Jateí;5005103;Biogás - RU;Rural;PF;Minigeracao;110,00;;-22,54;-54,14
;***;MS;Ivinhema;5004700;Biogás - RA;Rural;PF;Minigeracao;112,50;;-22,34;-53,81
;***;MS;Ivinhema;5004700;Biogás - RU;Rural;PF;Microgeracao;73,26;;-22,36;-53,88
;***;MS;Rio Brilhante;5007208;Biogás - RA;Rural;PF;Microgeracao;74,25;;-21,84;-54,51
;***;MS;Caarapó;5002407;Biogás-AGR;Rural;PF;Minigeracao;111,38;;-22,64;-54,71
;LUA CLARA AGROINDUSTRIAL E TRANSPORTE LTDA;MS;Deodápolis;5003454;Biogás - RU;Industrial;PJ;Minigeracao;95,00;;-22,29;-54,13
;JEROÁ SUINOCULTURA LTDA;MS;Campo Grande;5002704;Biogás - RA;Rural;PJ;Minigeracao;260,00;;-20,64;-54,57
;COOP DE ELET RURAL DA GRANDE CAMPO GRANDE CERCAMPO;MS;Campo Grande;5002704;Biogás - RU;Rural;PJ;Minigeracao;500,06;;-20,99;-54,51
;***;MS;Jateí;5005103;Biogás - RU;Rural;PF;Minigeracao;95,00;;-22,47;-54,27
;***;MS;Rio Brilhante;5007208;Biogás - RU;Comercial;PF;Microgeracao;61,80;;-20,46;-54,64
;EMPRESA DE RADIODIFUSÃO FM TUIUIU LTDA;MS;Dois Irmãos do Buriti;5003488;Biogás - RU;Industrial;PJ;Minigeracao;190,00;;-22,34;-53,84
;***;MS;Rio Negro;5007307;Biogás - RU;Rural;PF;Minigeracao;95,00;;-18,56;-53,12
;***;MS;São Gabriel do Oeste;5007695;Biogás - RA;Rural;PF;Minigeracao;95,00;;-19,28;-54,62
;AGROCERES PIC SUINOS LTDA;MS;Dourados;5003702;Biogás - RU;Rural;PJ;Microgeracao;75,00;;-22,44;-55,46
;***;MS;Itaporã;5004502;Biogás - RU;Rural;PF;Microgeracao;74,25;;-22,02;-54,80
;***;MS;Rio Negro;5007307;Biogás - RU;Rural;PF;Minigeracao;95,58;;-19,55;-54,96
;***;MS;Itaporã;5004502;Biogás - RU;Rural;PF;Microgeracao;74,75;;-22,02;-54,78
;***;MT;Santa Rita do Trivelato;5107768;Biogás-AGR;Rural;PF;Minigeracao;252,00;;-13,82;-55,27
;***;MT;Tapurah;5108006;Biogás-AGR;Rural;PF;Minigeracao;276,00;;-12,62;-56,29
;***;MT;Sorriso;5107925;Biogás-AGR;Rural;PF;Minigeracao;276,00;;-12,53;-55,82
;***;MT;Tapurah;5108006;Biogás - RA;Rural;PF;Minigeracao;230,00;;-12,74;-56,51
;***;MT;Sorriso;5107925;Biogás - RA;Rural;PF;Minigeracao;103,50;;-12,60;-55,67
;COOPERATIVA AGROPECUARIA MISTA NOVA MUTUM;MT;Nova Mutum;5106224;Biogás - RA;Rural;PJ;Minigeracao;276,00;;-13,75;-56,06
;***;MT;Nova Mutum;5106224;Biogás - RA;Rural;PF;Minigeracao;276,00;;-13,52;-56,08
;FRIGORIFICO NUTRIBRAS LTDA;MT;Vera;5108501;Biogás - RA;Industrial;PJ;Minigeracao;103,50;;-12,27;-55,40
;***;MT;Tapurah;5108006;Biogás - RA;Rural;PF;Minigeracao;270,48;;-12,58;-56,49
;IDEAL PORK S.A;MT;Nova Mutum;5106224;Biogás - RA;Rural;PJ;Minigeracao;1000,00;;-13,52;-56,08
;***;MT;Tapurah;5108006;Biogás - RA;Rural;PF;Minigeracao;2865,80;;-12,58;-56,49
;***;MT;Lucas do Rio Verde;5105259;Biogás - RA;Rural;PF;Microgeracao;69,00;;-13,00;-56,00
;***;MT;Lucas do Rio Verde;5105259;Biogás - RA;Rural;PF;Microgeracao;31,50;;-12,73;-56,15
;***;MT;Lucas do Rio Verde;5105259;Biogás - RU;Rural;PF;Microgeracao;10,13;;-12,73;-56,15
;***;MT;Sorriso;5107925;Biogás-AGR;Rural;PF;Minigeracao;276,00;;-13,38;-55,21
;***;MT;Campo Verde;5102678;Biogás-AGR;Rural;PF;Minigeracao;103,50;;-15,43;-55,26
;***;MT;Ipiranga do Norte;5104526;Biogás - RA;Industrial;PF;Microgeracao;69,00;;-11,65;-56,06
;***;MT;Ipiranga do Norte;5104526;Biogás - RA;Rural;PF;Minigeracao;1932,00;;-12,04;-56,05
;***;MT;Lucas do Rio Verde;5105259;Biogás - RA;Rural;PF;Minigeracao;276,00;;-12,75;-56,22
;FRIGORIFICO NUTRIBRAS LTDA;MT;Vera;5108501;Biogás - RA;Industrial;PJ;Minigeracao;690,00;;-12,27;-55,40
;ASSOCIAÇÃO BOM PRINCÍPIO SOLAR;MT;Lucas do Rio Verde;5105259;Biogás - RA;Comercial;PJ;Microgeracao;69,00;;-13,00;-56,00
;AGRO INVESTIMENTOS SACHETTI LTDA;MT;Itiquira;5104609;Biogás - RA;Rural;PJ;Minigeracao;460,00;;-17,00;-54,00
;***;MT;Lucas do Rio Verde;5105259;Biogás - RA;Rural;PF;Minigeracao;276,00;;-12,79;-56,16
;***;MT;Lucas do Rio Verde;5105259;Biogás - RA;Rural;PF;Minigeracao;276,00;;-13,06;-55,92
;***;MT;Tapurah;5108006;Biogás - RA;Rural;PF;Minigeracao;276,00;;-12,80;-56,51
;***;MT;Sorriso;5107925;Biogás - RA;Rural;PF;Microgeracao;75,00;;-12,62;-55,82
;IBF AGROPECUARIA SA;MT;Primavera do Leste;5107040;Biogás - RA;Rural;PJ;Minigeracao;475,00;;-15,00;-54,00
;***;MT;Nova Mutum;5106224;Biogás - RA;Rural;PF;Microgeracao;75,00;;-13,89;-55,61
;***;MT;Sorriso;5107925;Biogás-AGR;Rural;PF;Microgeracao;60,00;;-12,59;-55,68
;Consórcio Urca MT Energia de Geração Compartilhada;MT;Sorriso;5107925;Biogás - RA;Industrial;PJ;Minigeracao;1000,00;;-12,53;-55,82
;***;MT;Sorriso;5107925;Biogás - RA;Rural;PF;Microgeracao;75,00;;-12,79;-55,84
;Consórcio Urca MT Energia de Geração Compartilhada;MT;Tapurah;5108006;Biogás - RU;Rural;PJ;Minigeracao;250,00;;-12,25;-56,41
;***;MT;Lucas do Rio Verde;5105259;Biogás-AGR;Rural;PF;Minigeracao;100,00;;-12,69;-56,12
;COMPANHIA USINA SÃO JOÃO;PB;Santa Rita;2513703;Biogás - Floresta;Industrial;PJ;Minigeracao;1563,00;;-7,19;-34,15
;CONSORCIO ENERGIA LIVRE;PB;Campina Grande;2504009;Biogás - RU;Comercial;PJ;Minigeracao;2500,00;;-8,10;-36,10
;ASJA PARAIBA GERACAO DISTRIBUIDA LIMITADA;PB;Guarabira;2506301;Biogás - Floresta;Industrial;PJ;Minigeracao;2500,00;;-3,28;-60,30
;Incorporadora Camaragibe SPE Ltda;PE;Camaragibe;2603454;Biogás - RU;Comercial;PJ;Microgeracao;28,38;;-8,02;-34,99
;BANCO SANTANDER BRASIL S A;PE;Petrolina;2611101;Biogás - RU;Comercial;PJ;Minigeracao;980,80;;-9,39;-40,51
;***;PR;São Miguel do Iguaçu;4125704;Biogás - RA;Rural;PF;Microgeracao;75,00;;-25,50;-54,23
;MUNICIPIO DE MARECHAL CANDIDO RONDON;PR;Marechal Cândido Rondon;4114609;Biogás - RA;Poder Público;PJ;Microgeracao;35,00;;-24,58;-54,11
;COOPERATIVA DE INFRAESTRUTURA E ELETRIFICACAO RURAL DE PALOTINA;PR;Palotina;4117909;Biogás - RU;Rural;PJ;Minigeracao;87,20;;-24,31;-53,86
;AGROPECUARIA IPE LTDA;PR;Luiziana;4113734;Biogás-AGR;Rural;PJ;Microgeracao;64,80;;-24,32;-52,37
;***;PR;Rebouças;4121505;Biogás - RA;Rural;PF;Microgeracao;75,00;;-25,71;-50,49
;***;PR;Leópolis;4113403;Biogás - RA;Rural;PF;Microgeracao;60,00;;-23,02;-50,67
;J.A.PASQUINI & CIA.LTDA.;PR;Nova Esperança;4116901;Biogás - RA;Industrial;PJ;Minigeracao;500,00;;-23,16;-52,18
;MUNICIPIO DE CASCAVEL;PR;Cascavel;4104808;Biogás - RU;Poder Público;PJ;Minigeracao;300,00;;-24,85;-53,49
;***;PR;Pinhalão;4119202;Biogás - RU;Rural;PF;Microgeracao;59,20;;-23,88;-50,07
;COPACOL COOPERATIVA AGROINDUSTRIAL CONSOLATA;PR;Cafelândia;4103453;Biogás - RA;Industrial;PJ;Minigeracao;154,00;;-24,66;-53,35
;***;PR;São Miguel do Iguaçu;4125704;Biogás - RA;Rural;PF;Microgeracao;60,00;;-25,47;-54,19
;COOPERATIVA DE ENERGIAS RENOVAVEIS DO PARANA;PR;Boa Esperança do Iguaçu;4103024;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-25,65;-53,18
;***;PR;Marilena;4115002;Biogás - RU;Rural;PF;Minigeracao;210,00;;-22,74;-53,05
;***;PR;Castro;4104907;Biogás - RA;Rural;PF;Microgeracao;72,00;;-24,80;-49,89
;SINERGIA SOLUÇÕES ENERGETICAS ADMNISTRADORA DE CONSORCIOS LT;PR;Entre Rios do Oeste;4107538;Biogás - Floresta;Comercial;PJ;Microgeracao;75,00;;-24,70;-54,20
;CIA LATINO AMERICANA DE MEDICAMENTOS;PR;Umuarama;4128104;Biogás - RA;Rural;PJ;Microgeracao;69,00;;-23,85;-53,28
;***;PR;Castro;4104907;Biogás - RA;Rural;PF;Minigeracao;96,00;;-24,80;-49,89
;COPACOL COOPERATIVA AGROINDUSTRIAL CONSOLATA;PR;Formosa do Oeste;4108205;Biogás-AGR;Industrial;PJ;Minigeracao;260,00;;-24,30;-53,36
;TERRAFEC INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;PR;Santa Isabel do Ivaí;4123709;Biogás-AGR;Industrial;PJ;Minigeracao;235,00;;-22,98;-53,22
;***;PR;Quatro Pontes;4120853;Biogás - RA;Rural;PF;Minigeracao;490,40;;-24,60;-53,99
;FAMACHIQ LTDA;PR;Rebouças;4121505;Biogás - RA;Industrial;PJ;Minigeracao;525,00;;-25,63;-50,69
;***;PR;Arapoti;4101606;Biogás - RA;Industrial;PF;Minigeracao;223,56;;-24,18;-49,93
;CIA LATINO AMERICANA DE MEDICAMENTOS;PR;Toledo;4127700;Biogás - RA;Comercial;PJ;Microgeracao;74,99;;-24,72;-53,90
;COMPANHIA DE SANEAMENTO DO PARANA SANEPAR;PR;Foz do Iguaçu;4108304;Biogás - RU;Serviço Público;PJ;Microgeracao;52,80;;-25,56;-54,59
;***;PR;Ouro Verde do Oeste;4117453;Biogás - RA;Rural;PF;Microgeracao;39,68;;-24,75;-53,86
;***;PR;São Miguel do Iguaçu;4125704;Biogás - RA;Rural;PF;Microgeracao;72,00;;-25,36;-54,16
;AGROPECUARIA AGUA AZUL LTDA;PR;Farol;4107553;Biogás - RA;Rural;PJ;Microgeracao;74,12;;-24,11;-52,56
;***;PR;Marechal Cândido Rondon;4114609;Biogás - RA;Rural;PF;Microgeracao;74,12;;-24,65;-54,18
;***;PR;Nova Santa Rosa;4117222;Biogás - RA;Rural;PF;Microgeracao;67,20;;-24,50;-53,93
;MIOLATINA DO BRASIL EMBUTIDOS LTDA;PR;São Jorge D'Oeste;4125209;Biogás - RA;Rural;PJ;Microgeracao;74,00;;-25,73;-52,86
;***;PR;Marechal Cândido Rondon;4114609;Biogás - RA;Rural;PF;Microgeracao;,74;;-25,39;-54,13
;RG ENERGIA LTDA;PR;Cafelândia;4103453;Biogás - RA;Industrial;PJ;Microgeracao;74,24;;-24,60;-53,35
;COOPERATIVA DE INFRAESTRUTURA E ELETRIFICACAO RURAL DE PALOTINA;PR;Maripá;4115358;Biogás - RA;Rural;PJ;Microgeracao;59,36;;-24,40;-53,87
;***;PR;São Miguel do Iguaçu;4125704;Biogás - RA;Rural;PF;Microgeracao;74,75;;-25,38;-54,16
;CIA LATINO AMERICANA DE MEDICAMENTOS;PR;Toledo;4127700;Biogás - RA;Residencial;PJ;Microgeracao;57,67;;-24,66;-53,88
;COOPERATIVA DE ENERGIAS RENOVAVEIS DO PARANA;PR;Marechal Cândido Rondon;4114609;Biogás - RA;Rural;PJ;Microgeracao;74,80;;-24,67;-54,12
;***;PR;Santa Helena;4123501;Biogás - RA;Rural;PF;Microgeracao;74,12;;-24,97;-54,23
;***;PR;Santa Izabel do Oeste;4123808;Biogás - RA;Rural;PF;Microgeracao;57,00;;-25,79;-53,50
;Cooperativa De Crédito, Poupança E Investimento Aliança Sicredi Aliança Pr/Sp;PR;Toledo;4127700;Biogás - RA;Comercial;PJ;Microgeracao;74,82;;-24,58;-53,92
;MIOLAR ALIMENTOS LTDA;PR;São Jorge D'Oeste;4125209;Biogás - RA;Industrial;PJ;Microgeracao;74,00;;-25,73;-52,86
;***;PR;Dois Vizinhos;4107207;Biogás - RA;Rural;PF;Microgeracao;74,12;;-25,72;-53,20
;***;PR;Dois Vizinhos;4107207;Biogás - RA;Rural;PF;Microgeracao;75,00;;-25,78;-53,10
;***;PR;Entre Rios do Oeste;4107538;Biogás - RA;Rural;PF;Microgeracao;75,00;;-24,72;-54,24
;***;PR;Marechal Cândido Rondon;4114609;Biogás - RA;Rural;PF;Microgeracao;75,00;;-24,58;-54,23
;COOPERATIVA DE ENERGIAS RENOVAVEIS DO PARANA;PR;Ouro Verde do Oeste;4117453;Biogás - RA;Rural;PJ;Microgeracao;74,67;;-24,79;-53,84
;CIA LATINO AMERICANA DE MEDICAMENTOS;PR;Toledo;4127700;Biogás - RA;Comercial;PJ;Microgeracao;75,00;;-24,70;-53,82
;***;PR;Toledo;4127700;Biogás - RA;Rural;PF;Microgeracao;74,93;;-24,67;-53,98
;COOPERATIVA DE ENERGIAS RENOVAVEIS DO PARANA;PR;Toledo;4127700;Biogás - RA;Rural;PJ;Microgeracao;74,98;;-24,81;-53,76
;***;PR;Nova Santa Rosa;4117222;Biogás - RA;Residencial;PF;Microgeracao;74,12;;-24,49;-53,89
;RG ENERGIA LTDA;PR;Toledo;4127700;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-24,69;-53,84
;COOPERATIVA DE ENERGIAS RENOVAVEIS DO PARANA;PR;Toledo;4127700;Biogás - RA;Industrial;PJ;Microgeracao;75,00;;-24,64;-53,69
;COOPERATIVA DE ENERGIAS RENOVAVEIS DO PARANA;PR;Toledo;4127700;Biogás - RA;Industrial;PJ;Microgeracao;75,00;;-24,70;-53,91
;***;PR;Nova Santa Rosa;4117222;Biogás - RA;Rural;PF;Microgeracao;73,60;;-24,50;-53,93
;***;PR;Marechal Cândido Rondon;4114609;Biogás - RA;Rural;PF;Microgeracao;75,00;;-24,68;-54,08
;RG ENERGIA LTDA;PR;Santa Helena;4123501;Biogás - RA;Rural;PJ;Microgeracao;73,60;;-24,92;-54,27
;CIA LATINO AMERICANA DE MEDICAMENTOS;PR;Toledo;4127700;Biogás - RA;Comercial;PJ;Microgeracao;75,00;;-24,66;-53,88
;***;PR;Realeza;4121406;Biogás - RA;Rural;PF;Microgeracao;75,00;;-25,82;-53,51
;DAJU LTDA;PR;Santa Helena;4123501;Biogás - RA;Comercial;PJ;Microgeracao;75,00;;-24,78;-54,31
;COOPERATIVA DE ENERGIAS RENOVAVEIS DO PARANA;PR;Toledo;4127700;Biogás - RA;Industrial;PJ;Microgeracao;75,00;;-24,70;-53,84
;***;PR;Catanduvas;4105003;Biogás - RA;Rural;PF;Microgeracao;75,00;;-25,21;-53,17
;***;PR;Pato Bragado;4118451;Biogás - RA;Rural;PF;Microgeracao;75,00;;-24,63;-54,19
;***;PR;Maripá;4115358;Biogás - RA;Rural;PF;Microgeracao;62,30;;-24,47;-53,89
;***;PR;Pato Bragado;4118451;Biogás - RA;Comercial;PF;Microgeracao;74,12;;-24,60;-54,23
;SS RACOES LTDA;PR;Marechal Cândido Rondon;4114609;Biogás - RA;Industrial;PJ;Microgeracao;74,12;;-24,69;-54,06
;***;PR;Santa Helena;4123501;Biogás - RA;Rural;PF;Microgeracao;74,20;;-24,80;-54,30
;EMPRESA HOTELEIRA PORTO MADERO LTDA;PR;Santa Helena;4123501;Biogás - RA;Comercial;PJ;Microgeracao;73,92;;-25,01;-54,36
;CIA LATINO AMERICANA DE MEDICAMENTOS;PR;Assis Chateaubriand;4102000;Biogás - RA;Comercial;PJ;Microgeracao;74,12;;-24,60;-53,63
;COOPERATIVA DE ENERGIAS RENOVAVEIS DO PARANA;PR;Santa Helena;4123501;Biogás - RA;Industrial;PJ;Microgeracao;68,30;;-24,80;-54,30
;***;PR;Toledo;4127700;Biogás - RA;Industrial;PF;Microgeracao;73,92;;-24,77;-53,65
;***;PR;Pitangueiras;4119657;Biogás - RA;Rural;PF;Microgeracao;75,00;;-23,22;-51,56
;***;PR;Castro;4104907;Biogás - RA;Rural;PF;Microgeracao;75,00;;-24,88;-49,82
;CEDIMED CENTRO DE DIAGNOSTICO MEDICO DE CASCAVEL LTDA;PR;Santa Helena;4123501;Biogás - RA;Industrial;PJ;Microgeracao;74,88;;-25,01;-54,37
;***;PR;Toledo;4127700;Biogás - RA;Residencial;PF;Microgeracao;68,26;;-24,74;-53,86
;***;PR;Toledo;4127700;Biogás - RA;Rural;PF;Microgeracao;68,26;;-24,58;-53,77
;***;PR;Enéas Marques;4107405;Biogás - RA;Rural;PF;Microgeracao;74,20;;-25,94;-53,10
;***;PR;Santa Helena;4123501;Biogás - RA;Industrial;PF;Microgeracao;74,12;;-25,01;-54,25
;COOPERATIVA DE GERACAO COMPARTILHADA COGECOM;PR;Missal;4116059;Biogás - RA;Rural;PJ;Microgeracao;74,69;;-25,15;-54,18
;***;PR;Itaipulândia;4110953;Biogás - RA;Rural;PF;Microgeracao;73,92;;-25,19;-54,31
;COPACOL COOPERATIVA AGROINDUSTRIAL CONSOLATA;PR;Jesuítas;4112751;Biogás - RA;Rural;PJ;Minigeracao;998,40;;-24,51;-53,41
;COPACOL COOPERATIVA AGROINDUSTRIAL CONSOLATA;PR;Jesuítas;4112751;Biogás - RA;Rural;PJ;Minigeracao;499,20;;-24,49;-53,39
;Siviero Cereais Insumos Agrícolas e Transportes LTDA;PR;Clevelândia;4105706;Biogás - RA;Comercial;PJ;Minigeracao;192,00;;-26,41;-52,35
;COMPANHIA DE SANEAMENTO DO PARANA SANEPAR;PR;Curitiba;4106902;Biogás - RA;Poder Público;PJ;Minigeracao;1770,00;;-25,51;-49,22
;COCAMAR COOPERATIVA AGROINDUSTRIAL;PR;Presidente Castelo Branco;4120408;Biogás-AGR;Industrial;PJ;Minigeracao;422,10;;-23,28;-52,16
;***;PR;Mamborê;4114005;Biogás - RA;Rural;PF;Minigeracao;220,00;;-24,31;-51,53
;COOPERATIVA DE GERACAO COMPARTILHADA COGECOM;PR;Castro;4104907;Biogás-AGR;Comercial;PJ;Minigeracao;1200,00;;-24,72;-49,99
;CASTROLANDA - COOPERATIVA AGROINDUSTRIAL LTDA;PR;Piraí do Sul;4119400;Biogás-AGR;Comercial;PJ;Minigeracao;233,00;;-24,49;-49,85
;MUNICIPIO DE PONTA GROSSA;PR;Ponta Grossa;4119905;Biogás - RU;Poder Público;PJ;Minigeracao;520,80;;-25,18;-50,09
;EDB COOPERATIVA ENERGIA DO BRASIL;PR;Ouro Verde do Oeste;4117453;Biogás - RU;Comercial;PJ;Minigeracao;1000,00;;-24,75;-53,90
;STARKEN ALIMENTOS EIRELI;PR;Santa Cruz de Monte Castelo;4123303;Biogás - RU;Industrial;PJ;Minigeracao;250,10;;-23,00;-53,31
;Centro Internacional de Energias Renováveis-Biogás;PR;Toledo;4127700;Biogás - RA;Industrial;PJ;Minigeracao;500,00;;-24,60;-53,74
;COOPERATIVA BRASILEIRA DE GERACAO DISTRIBUIDA;PR;Arapoti;4101606;Biogás - RA;Comercial;PJ;Microgeracao;73,50;;-24,20;-49,92
;COOPERATIVA BRASILEIRA DE GERACAO DISTRIBUIDA;PR;Arapoti;4101606;Biogás - RA;Comercial;PJ;Microgeracao;73,50;;-24,20;-75,82
;***;PR;Itaipulândia;4110953;Biogás - RA;Rural;PF;Microgeracao;73,92;;-25,08;-54,42
;SINERGI COOPERATIVA DE GERACAO DISTRIBUIDA DE ENERGIAS RENOVAVEIS;PR;Toledo;4127700;Biogás - RA;Industrial;PJ;Microgeracao;73,92;;-24,81;-53,77
;COOPERATIVA BRASILEIRA DE GERACAO DISTRIBUIDA;PR;Mercedes;4115853;Biogás - RA;Comercial;PJ;Microgeracao;74,12;;-24,45;-54,10
;COOPERATIVA DE GERACAO COMPARTILHADA COGECOM;PR;Honório Serpa;4109658;Biogás - RA;Residencial;PJ;Microgeracao;74,25;;-26,11;-52,44
;***;PR;Mangueirinha;4114401;Biogás - RA;Rural;PF;Microgeracao;74,20;;-25,99;-52,20
;***;PR;Mercedes;4115853;Biogás - RA;Rural;PF;Microgeracao;75,00;;-24,39;-54,19
;***;PR;Pato Bragado;4118451;Biogás - RA;Residencial;PF;Microgeracao;74,57;;-24,64;-54,18
;COOPERATIVA DE GERACAO COMPARTILHADA COGECOM;PR;Francisco Beltrão;4108403;Biogás - RA;Industrial;PJ;Microgeracao;74,25;;-25,99;-53,03
;FRIGORIFICO FLORAI LTDA;PR;Floraí;4107801;Biogás - RA;Industrial;PJ;Microgeracao;74,25;;-23,31;-52,36
;***;PR;Pato Bragado;4118451;Biogás - RA;Industrial;PF;Microgeracao;74,12;;-24,63;-54,21
;COOPERATIVA DOS PRODUTORES DE ENERGIA E ADUBO - COOPENAD;PR;Salgado Filho;4122800;Biogás - RU;Industrial;PJ;Minigeracao;1040,00;;-26,17;-53,38
;COOPERATIVA DE GERACAO DISTRIBUIDA NOVA ENERGIA;PR;Tunas do Paraná;4127882;Biogás - Floresta;Comercial;PJ;Minigeracao;4500,00;;-25,43;-49,30
;CONSORCIO ENLIV ENERGIA;PR;Toledo;4127700;Biogás - Floresta;Industrial;PJ;Minigeracao;500,00;;-24,36;-53,44
;EDB COOPERATIVA ENERGIA DO BRASIL;PR;Marechal Cândido Rondon;4114609;Biogás - Floresta;Rural;PJ;Minigeracao;260,00;;-24,65;-54,14
;BIO4 GERADORA DE ENERGIA LTDA;PR;Marechal Cândido Rondon;4114609;Biogás - Floresta;Rural;PJ;Minigeracao;336,00;;-24,65;-54,14
;***;PR;Salto do Lontra;4123006;Biogás - RA;Rural;PF;Microgeracao;74,99;;-25,87;-53,32
;Cargill PGO;PR;Ponta Grossa;4119905;Biogás - Floresta;Comercial;PJ;Minigeracao;2296,00;;-25,19;-50,08
;C.VALE - COOPERATIVA AGROINDUSTRIAL;PR;Maripá;4115358;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-24,37;-53,76
;JAIRSON GOULARTE AGROINDUSTRIA;PR;Cafezal do Sul;4103479;Biogás-AGR;Industrial;PJ;Microgeracao;74,00;;-23,96;-53,57
;***;PR;Cafelândia;4103453;Biogás - RA;Residencial;PF;Microgeracao;74,40;;-24,64;-53,36
;***;PR;Rolândia;4122404;Biogás - Floresta;Rural;PF;Minigeracao;136,00;;-20,33;-51,33
;***;PR;Vera Cruz do Oeste;4128559;Biogás - RA;Rural;PF;Microgeracao;74,70;;-25,07;-56,00
;J. G. COMBATE COMERCIO VAREJISTA DE MOVEIS LTDA;PR;Cascavel;4104808;Biogás - RA;Comercial;PJ;Microgeracao;74,70;;-25,14;-54,71
;***;PR;Corbélia;4106308;Biogás - RA;Rural;PF;Microgeracao;75,00;;-25,26;-54,76
;***;PR;Santa Helena;4123501;Biogás - RA;Rural;PF;Microgeracao;75,00;;-25,27;-55,74
;ASSOCIACAO NET ZERO;PR;Cascavel;4104808;Biogás - RA;Comercial;PJ;Minigeracao;300,00;;-24,98;-53,29
;BANCO SANTANDER BRASIL S A;RJ;Barra Mansa;3300407;Biogás - RU;Comercial;PJ;Minigeracao;1000,00;;-22,56;-44,19
