CodGeracaoDistribuida;NomTitularEmpreendimento;SigUF;NomMunicipio;CodMunicipioIbge;DscFonteGeracao;DscClasseConsumo;SigTipoConsumidor;DscPorte;MdaPotenciaInstaladaKW;DatConexao;NumCoordNEmpreendimento;NumCoordEEmpreendimento
;***;MG;Pouso Alto;3152600;Biogás - RU;Rural;PF;Minigeracao;264,00;;-22,23;-44,95
;***;MG;Varjão de Minas;3170750;Biogás - RU;Rural;PF;Minigeracao;480,00;;-18,46;-45,94
;***;MG;Patrocínio;3148103;Biogás - RA;Rural;PF;Minigeracao;96,00;;-18,77;-46,94
;***;MG;Uberlândia;3170206;Biogás-AGR;Rural;PF;Minigeracao;128,00;;-18,92;-48,28
;***;MG;Urucânia;3170503;Biogás - RA;Rural;PF;Minigeracao;96,00;;-20,37;-42,73
;***;MG;Onça de Pitangui;3145802;Biogás - RA;Rural;PF;Minigeracao;96,00;;-19,70;-44,74
;***;MG;Lagoa Dourada;3137403;Biogás - RU;Rural;PF;Minigeracao;264,00;;-20,89;-44,07
;***;MG;Serra do Salitre;3166808;Biogás-AGR;Rural;PF;Minigeracao;96,00;;-19,27;-46,73
;***;MG;Varjão de Minas;3170750;Biogás-AGR;Rural;PF;Minigeracao;96,00;;-18,46;-45,94
;***;MG;Pará de Minas;3147105;Biogás-AGR;Rural;PF;Microgeracao;60,00;;-19,80;-44,64
;***;MG;São José da Varginha;3163102;Biogás-AGR;Rural;PF;Microgeracao;74,40;;-19,73;-44,57
;***;MG;Jequeri;3135506;Biogás-AGR;Rural;PF;Minigeracao;96,00;;-20,38;-42,67
;***;MG;Jequeri;3135506;Biogás-AGR;Rural;PF;Minigeracao;95,92;;-20,41;-42,66
;***;MG;Teixeiras;3168507;Biogás - RA;Rural;PF;Minigeracao;192,00;;-20,60;-42,91
;***;MG;Urucânia;3170503;Biogás - RA;Rural;PF;Minigeracao;96,00;;-20,36;-42,70
;***;MG;Pará de Minas;3147105;Biogás - Floresta;Rural;PF;Microgeracao;75,00;;-19,86;-44,51
;***;MG;Rio Casca;3154903;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,08;-42,69
;***;MG;Piranga;3150802;Biogás - RA;Rural;PF;Minigeracao;264,00;;-20,71;-43,24
;***;MG;Piranga;3150802;Biogás - RA;Rural;PF;Minigeracao;75,20;;-20,68;-43,19
;***;MG;Araguari;3103504;Biogás-AGR;Rural;PF;Minigeracao;264,00;;-18,64;-48,24
;***;MG;Oratórios;3145851;Biogás - RA;Rural;PF;Minigeracao;96,00;;-20,41;-42,79
;***;MG;Iraí de Minas;3131604;Biogás - RA;Rural;PF;Minigeracao;75,20;;-19,05;-47,48
;***;MG;Jequeri;3135506;Biogás - RA;Rural;PF;Minigeracao;96,00;;-20,44;-42,61
;***;MG;Piranga;3150802;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,69;-43,18
;COOPERATIVA BRASILEIRA DE ACESSO;MG;São José da Varginha;3163102;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-19,72;-44,57
;***;MG;Jequeri;3135506;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,35;-42,68
;***;MG;Santa Cruz do Escalvado;3157401;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,30;-42,82
;***;MG;Piedade de Ponte Nova;3150208;Biogás - RA;Rural;PF;Microgeracao;60,00;;-20,24;-42,74
;COOPERATIVA BRASILEIRA DE ACESSO;MG;Pará de Minas;3147105;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-19,79;-44,71
;COOPERATIVA BRASILEIRA DE ACESSO;MG;Pará de Minas;3147105;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-19,81;-44,64
;***;MG;Piranga;3150802;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,70;-43,23
;***;MG;Monte Belo;3143005;Biogás - RA;Rural;PF;Microgeracao;60,00;;-21,27;-46,36
;***;MG;Teixeiras;3168507;Biogás - RA;Rural;PF;Minigeracao;192,00;;-20,57;-42,86
;***;MG;Cabo Verde;3109501;Biogás - RA;Rural;PF;Microgeracao;75,00;;-21,47;-46,38
;***;MG;Carmo do Paranaíba;3114303;Biogás - RA;Rural;PF;Minigeracao;264,00;;-18,88;-46,12
;RIO RANCHO AGROPECUARIA SA;MG;Conceição do Pará;3117603;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-19,77;-44,82
;***;MG;Jequeri;3135506;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,36;-42,69
;***;MG;Santa Juliana;3157708;Biogás - RA;Rural;PF;Microgeracao;75,00;;-19,28;-47,51
;***;MG;Ituiutaba;3134202;Biogás - RA;Rural;PF;Minigeracao;75,20;;-18,95;-49,50
;***;MG;Elói Mendes;3123601;Biogás - RA;Rural;PF;Microgeracao;75,00;;-21,68;-45,57
;COOPERATIVA BRASILEIRA DE ACESSO;MG;Pará de Minas;3147105;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-19,80;-44,64
;***;MG;Ponte Nova;3152105;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,42;-42,87
;***;MG;Pará de Minas;3147105;Biogás - RA;Rural;PF;Minigeracao;87,20;;-19,79;-44,63
;***;MG;Ponte Nova;3152105;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,35;-42,91
;***;MG;Abre Campo;3100302;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,32;-42,51
;CONSORCIO DE GERACAO COMP ENERGIA VERDE;MG;Coromandel;3119302;Biogás - RU;Rural;PJ;Microgeracao;72,00;;-18,65;-47,03
;***;MG;Patos de Minas;3148004;Biogás - RA;Rural;PF;Minigeracao;75,20;;-18,64;-46,59
;***;MG;Juiz de Fora;3136702;Biogás - RA;Rural;PF;Minigeracao;672,00;;-21,76;-43,61
;EMPRESA AGRICOLA FOLHADOS SA;MG;Patrocínio;3148103;Biogás - RA;Rural;PJ;Minigeracao;208,00;;-18,94;-46,99
;***;MG;Pouso Alto;3152600;Biogás - RA;Rural;PF;Minigeracao;200,00;;-22,18;-44,94
;***;MG;Urucânia;3170503;Biogás - RU;Rural;PF;Microgeracao;75,00;;-20,36;-42,70
;***;MG;Matipó;3140902;Biogás - RA;Rural;PF;Microgeracao;69,00;;-20,30;-42,30
;***;MG;Urucânia;3170503;Biogás - RU;Rural;PF;Microgeracao;75,00;;-20,36;-42,70
;AGROCERES PIC SUINOS SA;MG;Presidente Olegário;3153400;Biogás - RA;Rural;PJ;Minigeracao;200,00;;-18,18;-46,38
;***;MG;Urucânia;3170503;Biogás - RA;Rural;PF;Minigeracao;144,00;;-20,33;-42,74
;***;MG;Santa Juliana;3157708;Biogás - Floresta;Rural;PF;Microgeracao;75,00;;-19,31;-47,56
;***;MG;Passos;3147907;Biogás - RU;Rural;PF;Microgeracao;48,00;;-20,75;-46,43
;***;MG;Patos de Minas;3148004;Biogás - RA;Rural;PF;Microgeracao;75,00;;-18,70;-46,62
;***;MG;Urucânia;3170503;Biogás - RA;Rural;PF;Minigeracao;96,00;;-20,35;-42,70
;***;MG;Jequeri;3135506;Biogás - RA;Rural;PF;Minigeracao;98,44;;-20,42;-42,66
;***;MG;Conselheiro Lafaiete;3118304;Biogás - RA;Rural;PF;Minigeracao;96,00;;-20,66;-43,83
;***;MG;Ponte Nova;3152105;Biogás - RA;Rural;PF;Minigeracao;75,20;;-20,44;-42,85
;***;MG;Abre Campo;3100302;Biogás - RA;Rural;PF;Microgeracao;60,00;;-20,29;-42,47
