Mês/Ano,Região,Estado,Produto,Produção (m³)
04/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3454918.78
04/2023,SUDESTE,São Paulo,BIOMETANO,137486.903
03/2023,NORDESTE,Ceará,BIOMETANO,2752477
03/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3441360.35
03/2023,SUDESTE,São Paulo,BIOMETANO,495577.303
02/2023,NORDESTE,Ceará,BIOMETANO,1521883
02/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3191145.18
02/2023,SUDESTE,São Paulo,BIOMETANO,338117.067
01/2023,NORDESTE,Ceará,BIOMETANO,2523983
01/2023,SUDESTE,Rio de Janeiro,BIOMETANO,3036906.49
01/2023,SUDESTE,São Paulo,BIOMETANO,289486.094
12/2022,NORDESTE,Ceará,BIOMETANO,2435403
12/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3384189.77
12/2022,SUDESTE,São Paulo,BIOMETANO,284486.365
11/2022,NORDESTE,Ceará,BIOMETANO,2371997
11/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3095227.87
11/2022,SUDESTE,São Paulo,BIOMETANO,262773.785
10/2022,NORDESTE,Ceará,BIOMETANO,2139388
10/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3651424.01
10/2022,SUDESTE,São Paulo,BIOMETANO,205192.297
09/2022,NORDESTE,Ceará,BIOMETANO,2125088
09/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3212714.25
09/2022,SUDESTE,São Paulo,BIOMETANO,196547.463
08/2022,NORDESTE,Ceará,BIOMETANO,2158200
08/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3099926
08/2022,SUDESTE,São Paulo,BIOMETANO,80796.788
07/2022,NORDESTE,Ceará,BIOMETANO,2558126
07/2022,SUDESTE,Rio de Janeiro,BIOMETANO,2643186.001
07/2022,SUDESTE,São Paulo,BIOMETANO,79950.71
06/2022,NORDESTE,Ceará,BIOMETANO,2557430
06/2022,SUDESTE,Rio de Janeiro,BIOMETANO,2596059.14
05/2022,NORDESTE,Ceará,BIOMETANO,2713341
05/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3119032.11
04/2022,NORDESTE,Ceará,BIOMETANO,2747443
04/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3164608.36
03/2022,NORDESTE,Ceará,BIOMETANO,2450917
03/2022,SUDESTE,Rio de Janeiro,BIOMETANO,2976531.27
02/2022,NORDESTE,Ceará,BIOMETANO,2291289
02/2022,SUDESTE,Rio de Janeiro,BIOMETANO,2805443
01/2022,NORDESTE,Ceará,BIOMETANO,2113843
01/2022,SUDESTE,Rio de Janeiro,BIOMETANO,3161343.25
12/2021,NORDESTE,Ceará,BIOMETANO,727221
12/2021,SUDESTE,Rio de Janeiro,BIOMETANO,3178951.28
11/2021,NORDESTE,Ceará,BIOMETANO,2217294
11/2021,SUDESTE,Rio de Janeiro,BIOMETANO,3092958.19
10/2021,NORDESTE,Ceará,BIOMETANO,2367847
10/2021,SUDESTE,Rio de Janeiro,BIOMETANO,3049847.93
09/2021,NORDESTE,Ceará,BIOMETANO,2223972.23
09/2021,SUDESTE,Rio de Janeiro,BIOMETANO,2202671.26
08/2021,NORDESTE,Ceará,BIOMETANO,2345568
08/2021,SUDESTE,Rio de Janeiro,BIOMETANO,2281057.6
07/2021,NORDESTE,Ceará,BIOMETANO,2194629
07/2021,SUDESTE,Rio de Janeiro,BIOMETANO,2522563.05
06/2021,NORDESTE,Ceará,BIOMETANO,2246702
06/2021,SUDESTE,Rio de Janeiro,BIOMETANO,2490944.5
05/2021,NORDESTE,Ceará,BIOMETANO,2360935
05/2021,SUDESTE,Rio de Janeiro,BIOMETANO,2500568.99
04/2021,NORDESTE,Ceará,BIOMETANO,2187025
04/2021,SUDESTE,Rio de Janeiro,BIOMETANO,1926202.98
03/2021,NORDESTE,Ceará,BIOMETANO,2085566
03/2021,SUDESTE,Rio de Janeiro,BIOMETANO,1885190.31
02/2021,NORDESTE,Ceará,BIOMETANO,1802761
02/2021,SUDESTE,Rio de Janeiro,BIOMETANO,1895520.38
01/2021,NORDESTE,Ceará,BIOMETANO,1832177
01/2021,SUDESTE,Rio de Janeiro,BIOMETANO,1425247.6
12/2020,NORDESTE,Ceará,BIOMETANO,1720012
12/2020,SUDESTE,Rio de Janeiro,BIOMETANO,1861512.5
11/2020,NORDESTE,Ceará,BIOMETANO,1722957
11/2020,SUDESTE,Rio de Janeiro,BIOMETANO,2102627.71
10/2020,NORDESTE,Ceará,BIOMETANO,1916434
10/2020,SUDESTE,Rio de Janeiro,BIOMETANO,2187595.32
09/2020,NORDESTE,Ceará,BIOMETANO,1880002
09/2020,SUDESTE,Rio de Janeiro,BIOMETANO,1836423.37
08/2020,NORDESTE,Ceará,BIOMETANO,1956427
08/2020,SUDESTE,Rio de Janeiro,BIOMETANO,1245037.71
07/2020,NORDESTE,Ceará,BIOMETANO,2218781
07/2020,SUDESTE,Rio de Janeiro,BIOMETANO,2118130.86
06/2020,NORDESTE,Ceará,BIOMETANO,2111745
05/2020,NORDESTE,Ceará,BIOMETANO,2364125.99
04/2020,NORDESTE,Ceará,BIOMETANO,2236560
03/2020,NORDESTE,Ceará,BIOMETANO,2418989.29
02/2020,NORDESTE,Ceará,BIOMETANO,2084682
01/2020,NORDESTE,Ceará,BIOMETANO,2161394
